Time[s],xPosition2[px],yPosition2[px]
0,0,0
0.0418936,0,0
0.0837872,0,0
0.1256808,0,0
0.1675744,0,0
0.2094679,0,0
0.2513615,0,0
0.2932551,0,0
0.3351487,0,0
0.3770423,0,0
0.4189359,0,0
0.4608295,0,0
0.5027231,0,0
0.5446167,0,0
0.5865102,0,0
0.6284038,0,0
0.6702974,0,0
0.712191,0,0
0.7540846,0,0
0.7959782,0,0
0.8378718,0,0
0.8797654,0,0
0.921659,0,0
0.9635525,0,0
1.0054461,0,0
1.0473397,0,0
1.0892333,0,0
1.1311269,0,0
1.1730205,0,0
1.2149141,0,0
1.2568077,0,0
1.2987013,0,0
1.3405948,0,0
1.3824884,0,0
1.424382,0,0
1.4662756,0,0
1.5081692,0,0
1.5500628,0,0
1.5919564,0,0
1.63385,0,0
1.6757436,0,0
1.7176371,0,0
1.7595307,0,0
1.8014243,0,0
1.8433179,0,0
1.8852115,0,0
1.9271051,0,0
1.9689987,0,0
2.0108923,0,0
2.0527859,0,0
2.0946794,0,0
2.136573,0,0
2.1784666,0,0
2.2203602,0,0
2.2622538,0,0
2.3041474,0,0
2.346041,0,0
2.3879346,0,0
2.4298282,0,0
2.4717217,0,0
2.5136153,0,0
2.5555089,0,0
2.5974025,0,0
2.6392961,0,0
2.6811897,0,0
2.7230833,0,0
2.7649769,0,0
2.8068705,0,0
2.848764,0,0
2.8906576,0,0
2.9325512,0,0
2.9744448,0,0
3.0163384,0,0
3.058232,0,0
3.1001256,0,0
3.1420192,0,0
3.1839127,0,0
3.2258063,0,0
3.2676999,0,0
3.3095935,0,0
3.3514871,0,0
3.3933807,0,0
3.4352743,0,0
3.4771679,0,0
3.5190615,0,0
3.560955,0,0
3.6028486,0,0
3.6447422,0,0
3.6866358,0,0
3.7285294,0,0
3.770423,0,0
3.8123166,0,0
3.8542102,0,0
3.8961038,0,0
3.9379973,0,0
3.9798909,0,0
4.0217845,0,0
4.0636781,0,0
4.1055717,0,0
4.1474653,0,0
4.1893589,0,0
4.2312525,0,0
4.2731461,0,0
4.3150396,0,0
4.3569332,0,0
4.3988268,0,0
4.4407204,0,0
4.482614,0,0
4.5245076,0,0
4.5664012,0,0
4.6082948,0,0
4.6501884,0,0
4.6920819,0,0
4.7339755,0,0
4.7758691,0,0
4.8177627,0,0
4.8596563,0,0
4.9015499,0,0
4.9434435,0,0
4.9853371,0,0
5.0272307,0,0
5.0691242,0,0
5.1110178,0,0
5.1529114,0,0
5.194805,0,0
5.2366986,0,0
5.2785922,0,0
5.3204858,0,0
5.3623794,0,0
5.404273,0,0
5.4461665,0,0
5.4880601,0,0
5.5299537,0,0
5.5718473,0,0
5.6137409,0,0
5.6556345,0,0
5.6975281,0,0
5.7394217,0,0
5.7813153,0,0
5.8232088,0,0
5.8651024,0,0
5.906996,0,0
5.9488896,0,0
5.9907832,0,0
6.0326768,0,0
6.0745704,0,0
6.116464,0,0
6.1583576,0,0
6.2002511,0,0
6.2421447,0,0
6.2840383,0,0
6.3259319,0,0
6.3678255,0,0
6.4097191,0,0
6.4516127,0,0
6.4935063,0,0
6.5353999,0,0
